cntry,1995_car,1996_car,1997_car,1998_car,1999_car,2000_car,2001_car,2002_car,2003_car,2004_car,2005_car,2006_car,2007_car,2008_car,Average_car,Minimum_car,Maximum_car,2005_alc,2008_alc,Average_alc,Minimum_alc,Maximum_alc,1995_fert,1996_fert,1997_fert,1998_fert,1999_fert,2000_fert,2001_fert,2002_fert,2003_fert,2004_fert,2005_fert,2006_fert,2007_fert,2008_fert,Average_fert,Minimum_fert,Maximum_fert,2002_tbc,2005_tbc,Average_tbc,Minimum_tbc,Maximum_tbc,1995_gdp,1996_gdp,1997_gdp,1998_gdp,1999_gdp,2000_gdp,2001_gdp,2002_gdp,2003_gdp,2004_gdp,2005_gdp,2006_gdp,2007_gdp,2008_gdp,Average_gdp,Minimum_gdp,Maximum_gdp
Ecuador,,,4.463,2.3890000000000002,2.4530000000000003,3.821,4.1,3.2760000000000002,5.5520000000000005,5.341,4.646,7.04,,,4.3081000000000005,2.3890000000000002,7.04,9.38,9.43,9.405000000000001,9.38,9.43,3.335,3.27,3.213,3.161,3.113,3.068,3.025,2.983,2.94,2.897,2.853,2.81,2.7680000000000002,2.728,3.011714285714286,2.728,3.335,14.9,14.9,14.9,14.9,14.9,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0
Egypt,,,,,,8.18,,,,8.49,8.509,8.722000000000001,10.434000000000001,10.704,9.173166666666669,8.18,10.704,0.37,0.32,0.345,0.32,0.37,3.659,3.5789999999999997,3.508,3.44,3.372,3.306,3.242,3.1839999999999997,3.134,3.091,3.053,3.02,2.987,2.9539999999999997,3.252071428571429,2.9539999999999997,3.659,15.1,15.1,15.1,15.1,15.1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0
Estonia,,,14.126,14.129000000000001,10.898,9.115,7.932,10.447000000000001,6.943,6.544,7.7410000000000005,9.554,9.567,5.896,9.407666666666666,5.896,14.129000000000001,15.57,17.24,16.405,15.57,17.24,1.432,1.3780000000000001,1.3419999999999999,1.32,1.3119999999999998,1.319,1.341,1.3769999999999998,1.422,1.472,1.5219999999999998,1.565,1.598,1.619,1.4299285714285712,1.3119999999999998,1.619,38.8,38.8,38.8,38.8,38.8,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0
Ethiopia,,,,,,,,,,,,,19.046,,19.046,19.046,19.046,4.02,4.1,4.06,4.02,4.1,6.995,6.935,6.861000000000001,6.769,6.659,6.529,6.38,6.218,6.046,5.87,5.693,5.52,5.353,5.193,6.215785714285714,5.193,6.995,4.3,4.3,4.3,4.3,4.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Fiji,,,,,,,,,,,,,5.625,,5.625,5.625,5.625,2.43,2.76,2.5949999999999998,2.43,2.76,3.2760000000000002,3.2439999999999998,3.2089999999999996,3.1710000000000003,3.1319999999999997,3.09,3.0460000000000003,3.0010000000000003,2.9539999999999997,2.907,2.86,2.8160000000000003,2.7739999999999996,2.736,3.0154285714285716,2.736,3.2760000000000002,14.4,14.4,14.4,14.4,14.4,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Finland,,4.702,5.11,4.579,4.926,4.547,5.351,4.974,4.632,4.758,4.341,3.7039999999999997,4.632,3.615,4.6054615384615385,3.615,5.351,12.52,13.1,12.809999999999999,12.52,13.1,1.81,1.76,1.75,1.71,1.73,1.73,1.73,1.72,1.76,1.8,1.8,1.84,1.83,1.85,1.772857142857143,1.71,1.85,28.1,28.1,28.1,28.1,28.1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
France,,,6.813,6.818,5.466,5.992000000000001,6.39,6.07,4.426,3.958,3.592,3.091,2.491,,5.0097272727272735,2.491,6.818,13.66,12.48,13.07,12.48,13.66,1.723,1.735,1.751,1.7719999999999998,1.795,1.819,1.844,1.869,1.893,1.916,1.936,1.952,1.964,1.973,1.853,1.723,1.973,31.7,31.7,31.7,31.7,31.7,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Georgia,,,,5.912000000000001,6.952999999999999,6.529,8.737,,,,,,,,7.03275,5.912000000000001,8.737,6.4,6.66,6.53,6.4,6.66,1.879,1.8119999999999998,1.749,1.692,1.643,1.609,1.5919999999999999,1.5930000000000002,1.609,1.639,1.6780000000000002,1.719,1.758,1.788,1.6971428571428573,1.5919999999999999,1.879,31.9,31.9,31.9,31.9,31.9,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0
Germany,,,,6.136,6.106,5.912000000000001,5.237,5.08,4.6819999999999995,3.9539999999999997,3.3819999999999997,3.28,,,4.863222222222222,3.28,6.136,12.81,12.14,12.475000000000001,12.14,12.81,1.3130000000000002,1.3219999999999998,1.331,1.34,1.347,1.35,1.3519999999999999,1.3519999999999999,1.351,1.3519999999999999,1.3530000000000002,1.3559999999999999,1.361,1.368,1.3462857142857143,1.3130000000000002,1.368,31.6,31.6,31.6,31.6,31.6,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Ghana,,,,,,,,,,,,13.86287525,,,13.86287525,13.86287525,13.86287525,2.97,3.11,3.04,2.97,3.11,5.058,4.959,4.87,4.793,4.727,4.669,4.617,4.566,4.512,4.455,4.3919999999999995,4.3260000000000005,4.257,4.188,4.599214285714285,4.188,5.058,5.5,5.5,5.5,5.5,5.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
